Genome	PSM count	Peptide count	Unique peptide count	GTDB_Name	GTDB_Rank	GTDB_Superkingdom	GTDB_Kingdom	GTDB_Phylum	GTDB_Class	GTDB_Order	GTDB_Family	GTDB_Genus	GTDB_Species	NCBI_Name	NCBI_Rank	NCBI_Superkingdom	NCBI_Kingdom	NCBI_Phylum	NCBI_Class	NCBI_Order	NCBI_Family	NCBI_Genus	NCBI_Species	Intensity 10_18	Intensity 10_9	Intensity 11_18	Intensity 11_9	Intensity 12_18	Intensity 12_9	Intensity 13_18	Intensity 13_9	Intensity 14_18	Intensity 14_9	Intensity 15_18	Intensity 15_9	Intensity 16_18	Intensity 16_9	Intensity 17_18	Intensity 17_9	Intensity 18_18	Intensity 18_9	Intensity 9_18	Intensity 9_9
MGYG000302399	2898	198	15	Faecousia	Genus	Bacteria		Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Faecousia												2.425255396733822E8	1.4494E7	1.0217883706959708E8	7510070.0	8.329505166666667E7	4413700.0	4.3508265341880344E7	1.694E7	1.6331655804334554E8	1.5611E7	8.417270071428572E7	735650.0	9.359410535470085E7	8083949.0	6.109340384615385E7	8952860.0	6.693073E7	2921105.714285714	1.3463334297008547E8	1617300.0
MGYG000303245	17031	2061	1028	Prevotella sp002251365	Species	Bacteria		Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp002251365	Bacteroidaceae	Family	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae			7.515845035176768E9	3.887551053333333E8	8.852224256666664E9	5.199856719772727E9	3.4831663187373734E9	2.850505166666667E8	5.693205940858585E9	5.090417711265151E9	3.1629978624191923E9	1.8251348045454547E8	4.1528979173989906E9	1.5519804348484847E8	6.561318841704544E9	2.0339784103030303E8	3.624164787348484E9	1.5725959727272728E8	3.3194074819444447E9	1.874223004128788E8	4.240517697474747E9	1.964767316477273E8
MGYG000302280	6848	656	233	Prevotella pectinovora	Species	Bacteria		Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella pectinovora	Prevotella pectinovora	Species	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella pectinovora	2.059830427E9	1.61723535E8	2.2506338316666665E9	7.3018179E8	3.0279364344444447E9	1.21354491E9	2.6663097108888893E9	3.615365E8	2.502330870793651E9	6.75562192E8	2.2659334305E9	1.829606392E9	2.4470962444444447E9	3.7366842E8	2.858026709047619E9	6.85605455E8	2.0685919084523811E9	2.63353018E8	3.8988562974603176E9	5.55131599375E8
MGYG000301191	10685	1127	508	Coprococcus_A catus	Species	Bacteria		Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus_A	Coprococcus_A catus	Coprococcus catus	Species	Bacteria		Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Coprococcus	Coprococcus catus	2.167057752749156E9	7.0822958E7	9.2984001E8	1.1412946214285713E8	2.0546289387936509E9	1.2426784523809524E8	1.7646929570923676E9	8.483070333333334E7	3.871857878765366E9	7.2270788E7	1.2525646848611112E9	1.0511290733333334E8	2.4532181936290107E9	8.021784071428572E7	8.405539794161601E8	7.6334911E7	1.224673205396825E9	1.2202296666666667E8	5.790340095435663E9	5.3250686428571425E7
MGYG000303371	611	22	2	UBA6857 sp016292575	Species	Bacteria		Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	UBA6857	UBA6857 sp016292575	Clostridiaceae	Family	Bacteria		Firmicutes	Clostridia	Eubacteriales	Clostridiaceae			1.95909E7	0.0	1993200.0	0.0	8567200.0	1555100.0	6891500.0	0.0	1.1363E7	0.0	1.92665E7	0.0	1.32103E7	0.0	4.23837E7	0.0	2.58471E7	0.0	2.12895E7	0.0
MGYG000302160	1199	59	11	Catenibacterium mitsuokai	Species	Bacteria		Firmicutes	Bacilli	Erysipelotrichales	Coprobacillaceae	Catenibacterium	Catenibacterium mitsuokai	Catenibacterium mitsuokai	Species	Bacteria		Firmicutes	Erysipelotrichia	Erysipelotrichales	Coprobacillaceae	Catenibacterium	Catenibacterium mitsuokai	7641966.666666666	386560.0	2862900.0	0.0	3289610.0	0.0	5.05971E7	0.0	1.14551E7	4742540.0	1.20134E7	922540.0	4200300.0	0.0	7321646.666666667	1168700.0	1.339524E7	0.0	5241966.666666667	0.0
MGYG000301192	778	52	4	UBA6398 sp003150315	Species	Bacteria		Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	UBA6398	UBA6398 sp003150315	Bacteroidaceae	Family	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae			909947.5	0.0	2.3976365E7	0.0	46327.5	0.0	1603507.5	3647700.0	0.0	0.0	1988050.0	0.0	1025600.0	0.0	2323282.5	462060.0	68588.75	15941.25	718375.0	0.0
MGYG000303259	535	25	3	Enterococcus_J	Genus	Bacteria		Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_J												0.0	997480.0	2265800.0	2731900.0	4155400.0	2547800.0	2315000.0	2596900.0	2381800.0	2548900.0	0.0	1.85614E7	1381100.0	7062600.0	0.0	1022700.0	0.0	0.0	0.0	1978400.0
MGYG000303374	499	20	1	SFEL01 sp016292635	Species	Bacteria		Firmicutes_A	Clostridia	Christensenellales	CAG-138	SFEL01	SFEL01 sp016292635	Clostridia	Class	Bacteria		Firmicutes	Clostridia					0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4992600.0	0.0	0.0	0.0	0.0	0.0
MGYG000302162	972	34	2	Ornithospirochaeta	Genus	Bacteria		Spirochaetota	Spirochaetia	Sphaerochaetales	Sphaerochaetaceae	Ornithospirochaeta												1962086.5	0.0	108990.0	0.0	0.0	0.0	32619.0	0.0	24419.5	0.0	0.0	0.0	0.0	0.0	93085.0	117210.0	44358.0	167800.0	5919215.0	57192.0
MGYG000301197	5172	283	19	Roseburia	Genus	Bacteria		Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia												1.2061812E8	0.0	3.3326865E8	1623990.0	3.732048E7	119092.5	1.368402E8	2798220.0	1.0149055E8	0.0	9.4735915E7	3637100.0	7.87466E7	875665.0	1.096506E8	0.0	1.6457918E8	0.0	6.378185E7	0.0
MGYG000301196	12831	1127	309	Agathobacter sp900548765	Species	Bacteria		Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	Agathobacter sp900548765	Lachnobacterium	Genus	Bacteria		Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnobacterium		1.915968668431818E9	4.3262007666666664E7	2.0361523813654404E9	1.0521608E8	8.640804198181819E8	6.311886238095238E7	6.914394756049782E9	1.46769365E8	2.9213612692297983E9	5.9733739571428575E7	2.3991824092099566E9	5.1895808333333336E7	2.36395695532197E9	9.6771925E7	1.3998725012662337E9	8.37698835E7	1.4518350226190476E9	7.2448586E7	1.7566899153246753E9	5.368164785714286E7
MGYG000303010	1991	91	10	CAG-917	Genus	Bacteria		Firmicutes_A	Clostridia	Christensenellales	CAG-917	CAG-917												1.967384125E7	0.0	6.166548125E7	1.6150978E8	1.066692E7	2320500.0	3.33513125E7	3649250.0	8.431438125E7	8484902.0	6.23798375E7	1.382479E7	5.8055065625E7	3647800.0	1.722395E7	1163400.0	1.473678E7	334420.0	3.0762175E7	1652430.0
MGYG000303131	2442	95	6	Ruminococcus_F sp004558835	Species	Bacteria		Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus_F	Ruminococcus_F sp004558835	Ruminococcus	Genus	Bacteria		Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Ruminococcus		7239766.666666667	0.0	2.3343255555555556E7	0.0	0.0	0.0	1.1359677777777778E7	0.0	6635262.222222222	0.0	4168866.6666666665	587550.0	5174360.0	0.0	3486100.0	0.0	7503400.0	0.0	1687910.0	0.0
MGYG000302046	1324	35	4	Gemella	Genus	Bacteria		Firmicutes	Bacilli	Staphylococcales	Gemellaceae	Gemella												0.0	0.0	0.0	0.0	0.0	0.0	6920700.0	0.0	0.0	0.0	9775200.0	0.0	1.230993E7	0.0	5235800.0	0.0	0.0	0.0	0.0	0.0
MGYG000302287	1818	69	5	Ruminococcus sp002438605	Species	Bacteria		Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	Ruminococcus sp002438605	Oscillospiraceae	Family	Bacteria		Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae			1.1069E7	0.0	6817550.0	593180.0	2411800.0	137295.0	7593550.0	0.0	0.0	0.0	695850.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.667925E7	0.0
MGYG000302047	11296	2030	1475	Clostridium sp000435835	Species	Bacteria		Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp000435835	Clostridium	Genus	Bacteria		Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium		1.457246092967033E9	2.81091757E8	2.8211116894505496E9	1.3796449745714285E10	1.70209247E9	2.76462452E8	2.9268313706593404E9	4.2865844E8	5.357511049670329E9	5.34730272E8	2.918096745714286E9	3.85759784E8	2.817619607362637E9	2.49340924E8	1.2703427295604393E9	2.13612265E8	1.730370465E9	1.74350465E8	2.0511571362637362E9	1.71429342E8
MGYG000302171	1780	79	11	CAG-41	Genus	Bacteria		Firmicutes_A	Clostridia	UBA1381	UBA1381	CAG-41												3310950.0	0.0	1.29514E7	1165500.0	8192430.0	0.0	3.93002E7	0.0	8358200.0	0.0	3280800.0	0.0	2868550.0	0.0	1971100.0	0.0	1423900.0	810640.0	5499480.0	0.0
MGYG000301085	1746	131	77	Cryptobacteroides sp900546925	Species	Bacteria		Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Cryptobacteroides	Cryptobacteroides sp900546925	Bacteroidales	Order	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales				1.434884E8	2.619717E7	9.325138E8	1.299201E7	2.229027E8	1.512909E7	2.051953E8	1.979538E7	3.451312E8	1.4662E7	1.50529E8	4410840.0	1.2798979E8	5955360.0	8.25062E7	5461570.0	9.61918E7	5716530.0	1.20730215E8	445930.0
MGYG000302174	1152	80	20	Succiniclasticum sp900314855	Species	Bacteria		Firmicutes_C	Negativicutes	Acidaminococcales	Acidaminococcaceae	Succiniclasticum	Succiniclasticum sp900314855	Succiniclasticum	Genus	Bacteria		Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Succiniclasticum		3.448385142857143E7	0.0	3.331744285714286E7	0.0	3.123532142857143E7	2503000.0	4.55679E7	21104.285714285714	1.4879474285714287E8	5062700.0	7.768421428571428E7	2.0363E7	2.23016E7	1663600.0	7.977600571428572E7	980360.0	1.3032121142857143E8	5999800.0	3.625615428571428E7	1.137861E7
MGYG000302052	10500	1357	408	Anaerovibrio slackiae	Species	Bacteria		Firmicutes_C	Negativicutes	Selenomonadales	Selenomonadaceae	Anaerovibrio	Anaerovibrio slackiae	Selenomonadaceae	Family	Bacteria		Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae			5.878513573878888E9	1.2126127833333334E8	2.574120444307693E9	1.302717425E8	1.3617608566666667E9	9.314792083333334E7	4.0731234818548822E9	1.309950875E8	2.761445575288871E9	8.06210375E7	5.056878841333332E9	8.3711383E7	3.0353300912932353E9	1.1394405583333333E8	3.4605892289170756E9	8.7985599E7	4.844194151666667E9	4.6961242E7	2.443175535032733E9	5.9743317E7
MGYG000301084	7375	515	57	Anaerobutyricum soehngenii	Species	Bacteria		Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Anaerobutyricum	Anaerobutyricum soehngenii	Anaerobutyricum soehngenii	Species	Bacteria		Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Anaerobutyricum	Anaerobutyricum soehngenii	3.304177367539288E8	1.167716E7	2.565011860565268E8	1.2609342857142856E7	1.5646117308191806E8	9601445.714285715	4.47804800721516E8	8541815.0	4.050016714118311E8	717330.0	2.5461991763852814E8	2539071.4285714286	1.580598516316884E8	1.2028332857142856E7	2.853590221704892E8	5753000.0	9.276091738095239E7	1.2981475714285715E7	4.5546193781162107E8	1.0907925E7
MGYG000302055	3282	215	27	Limivicinus	Genus	Bacteria		Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Limivicinus												1.5289725E8	7709890.0	1.2027501E8	1.050815E7	2.917192E7	6145520.0	9.869204214285715E7	8724700.0	1.4891718E8	2.318339E7	1.4613845714285713E8	1.700965E7	1.7014966785714287E8	1.175441E7	4.108978785714286E7	1.40819E7	2.865758285714286E7	1.3100442E7	1.3427293928571427E8	3442795.0
MGYG000301089	633	122	71	Sodaliphilus sp004557565	Species	Bacteria		Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Sodaliphilus	Sodaliphilus sp004557565	Bacteroidales	Order	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales				2.8747359090909094E8	2346600.0	4.545781636363636E8	1.2432167272727273E7	8.755758181818182E8	5370550.0	5.803329181818181E8	1.968177818181818E7	8.154779E8	9649115.454545455	3.8963510909090906E8	3530441.8181818184	3.679158E8	1.2315706363636363E7	2.2675071E8	3634367.272727273	5.414316E8	3080927.4545454546	4.841322363636364E8	1.2479087272727273E7
MGYG000302299	539	30	1	Actinobacillus_A porcitonsillarum	Species	Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Actinobacillus_A	Actinobacillus_A porcitonsillarum	Actinobacillus porcitonsillarum	Species	Bacteria		Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus	Actinobacillus porcitonsillarum	0.0	155415.0	2104080.0	95120.0	59185.0	0.0	0.0	0.0	50110.0	37253.0	0.0	71983.5	1020100.0	0.0	1.799087E7	130885.0	2074250.0	1314100.0	0.0	0.0
MGYG000301088	14957	1610	594	Prevotella	Genus	Bacteria		Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella												1.3946656093333334E10	1.24213575E8	3.5830934172222223E9	1.3712434E8	2.272558491111111E9	1.3380819E8	8.536853251111112E9	2.2864898E8	7.549574657444445E9	1.217658E8	6.274160322222222E9	1.50992015E8	5.404835682777778E9	2.0326977E8	4.475614211111111E9	1.23975535E8	1.7697397933333333E9	8.721248E7	8.367089470555555E9	7.1567627E7
MGYG000302061	353	19	5	Anaerobiospirillum succiniciproducens	Species	Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Succinivibrionaceae	Anaerobiospirillum	Anaerobiospirillum succiniciproducens	Anaerobiospirillum succiniciproducens	Species	Bacteria		Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	Anaerobiospirillum	Anaerobiospirillum succiniciproducens	1251182.0	108525.0	3830666.6666666665	0.0	0.0	0.0	5902136.666666667	0.0	2288950.0	80580.0	3.8208533333333336E7	0.0	2635083.333333333	125680.0	1954243.3333333335	0.0	0.0	0.0	524149.0	0.0
MGYG000303275	4042	472	130	Alloprevotella timonensis	Species	Bacteria		Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Alloprevotella	Alloprevotella timonensis	Prevotellaceae	Family	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae			2.90698176E8	3.9631431666666664E7	2.724242655555556E8	1.735636E7	2.830597280555555E8	1.7573036666666664E7	2.984234429444445E8	1.4253321666666668E7	3.169241009444445E8	1.2000316666666666E7	3.896401788888889E8	2.4435062333333336E7	2.398146433333333E8	2.546078E7	1.30197863E9	2.3698461333333336E7	4.787075770833334E8	3.737337958333333E7	2.6400070599999997E8	2.0531478666666664E7
MGYG000302064	869	40	3	UBA7173	Genus	Bacteria		Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA7173												1934600.0	0.0	6187600.0	0.0	1.0931E7	0.0	1.6977E7	621700.0	2079300.0	0.0	2.449395E7	0.0	8234500.0	0.0	2272700.0	0.0	1.0005E7	0.0	1.5724E7	0.0
MGYG000303276	1507	61	4	Angelakisella sp003453215	Species	Bacteria		Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Angelakisella	Angelakisella sp003453215	Oscillospiraceae	Family	Bacteria		Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae			1.32576E7	0.0	4.05424E7	1606100.0	1.0871E7	0.0	1.727469E7	0.0	8982560.0	0.0	4413600.0	2342700.0	1.969645E7	94861.0	8255900.0	0.0	1.18163E7	979360.0	1.3388E7	0.0
MGYG000302184	65	5	1	UMGS1933	Genus	Bacteria		Firmicutes_A	Clostridia	TANB77	CAG-508	UMGS1933												0.0	0.0	0.0	0.0	0.0	216860.0	412040.0	0.0	0.0	0.0	0.0	0.0	2622150.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MGYG000302189	5568	346	39	MGBC120314	Genus	Bacteria		Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	MGBC120314												9.214153666666667E7	1.477798E7	3.538434333333334E8	9330700.0	5.9679281E7	2.2227806E9	3.650234214285714E8	1.769165E7	1.6449577047619048E8	7767800.0	9.303929E7	4472900.0	1.7123549E8	3643250.0	4.62706E7	461305.0	5.001787692307692E7	2896150.0	1.464510619047619E8	3607260.0
MGYG000303279	1426	68	4	UMGS1491	Genus	Bacteria		Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	UMGS1491												1.6502E7	214390.0	4.9253E7	913230.0	85513.0	579420.0	3.3342E7	1417200.0	2.387076E7	268900.0	0.0	3687950.0	5049560.0	0.0	2768590.0	612470.0	9784600.0	0.0	0.0	7245350.0
MGYG000302067	1367	95	20	Ruminococcus_D sp900539095	Species	Bacteria		Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus_D	Ruminococcus_D sp900539095	Ruminococcus	Genus	Bacteria		Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Ruminococcus		2.326958E7	0.0	5.125819E7	0.0	1.911619E7	0.0	3.410416E7	0.0	5.78262E7	0.0	6.809486E7	0.0	2.08577E7	0.0	8.005508E7	0.0	1.291254E7	0.0	2.388971E7	0.0
MGYG000303157	246	10	2	Tissierellaceae	Family	Bacteria		Firmicutes_A	Clostridia	Tissierellales	Tissierellaceae													0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1053300.0	0.0	0.0	0.0	0.0	0.0
MGYG000302192	103	13	1	Traorella	Genus	Bacteria		Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Traorella												0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5777600.0	0.0
MGYG000303283	1471	72	5	Eubacterium_R sp900548085	Species	Bacteria		Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Eubacterium_R	Eubacterium_R sp900548085	Clostridia	Class	Bacteria		Firmicutes	Clostridia					3.2525890801963992E7	4440500.0	1.347225E7	0.0	6190300.0	0.0	7526135.957446809	0.0	3.034182340425532E7	0.0	9187014.0	833570.0	6372436.382978723	0.0	6883073.404255319	598280.0	407050.0	0.0	5591286.955810147	0.0
MGYG000302358	13670	1523	386	Faecousia	Genus	Bacteria		Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Faecousia												6.5807836160912695E9	2.294823E8	4.296102813690475E9	3.8803198285714287E8	1.7350430614722223E9	2.6019763E8	7.407346935476192E9	3.60531835E8	7.530496371626986E9	3.601400333333333E8	2.999402130277778E9	1.6197777984615386E8	3.3267959021190476E9	2.262040007142857E8	1.3331034592857146E9	2.1329750166666666E8	8.635284042063493E8	1.7054059838095236E8	4.469178512829671E9	2.6077428642857143E8
MGYG000303206	1064	94	21	Intestinibacter	Genus	Bacteria		Firmicutes_A	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Intestinibacter												1.730382510989011E7	1.2656275E7	8838810.164835166	1.1017429571428572E8	907860.0	743730.0	2.4924894230769232E7	0.0	5.709235467032967E7	1.00892075E7	1.049961E7	2171450.0	1.5521044505494505E7	3025180.0	7.73332817032967E7	1.122345E7	1.7419414285714287E7	2571342.5	3.558351983516484E7	259850.0
MGYG000302116	1245	48	7	CAG-724 sp003524145	Species	Bacteria		Firmicutes_A	Clostridia	Oscillospirales	CAG-272	CAG-724	CAG-724 sp003524145	Eubacteriales	Order	Bacteria		Firmicutes	Clostridia	Eubacteriales				1130620.0	214960.0	247410.0	0.0	284870.0	1713700.0	2963380.0	1099700.0	1.205037E7	374020.0	1196200.0	314140.0	5174350.0	240690.0	0.0	281400.0	1146700.0	0.0	799430.0	247820.0
MGYG000302237	1080	36	6	Treponema_F excrementipullorum	Species	Bacteria		Spirochaetota	Spirochaetia	Treponematales	Treponemataceae	Treponema_F	Treponema_F excrementipullorum	Candidatus Treponema excrementipullorum	Species	Bacteria		Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Candidatus Treponema excrementipullorum	7854050.0	0.0	1.094453E7	99037.5	3021620.0	1001145.0	6.6568683333333336E7	3536775.0	7498275.0	0.0	2761200.0	143375.0	1.0629925E7	2052965.0	5700833.333333333	0.0	1023800.0	429675.0	1794850.0	0.0
MGYG000300179	951	50	4	UBA11957	Genus	Bacteria		Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA11957												1.604511E7	0.0	2.2869075E7	0.0	2309550.0	0.0	1.4720453333333334E7	0.0	6752710.0	0.0	1.24006105E7	0.0	3.49549E7	0.0	6686038.0	0.0	8.543673525641026E7	0.0	1.7333324E7	0.0
MGYG000303204	23980	2537	926	Prevotella	Genus	Bacteria		Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella												9.860886083232325E9	7.2812861E8	5.61418282190476E9	3.4671270327272725E8	2.894893984515151E9	9.7223027E8	1.1472958439160173E10	4.5316563526515156E8	1.085883152672078E10	2.6505223045454547E8	8.3688277752958145E9	3.6228369348484844E8	6.647281510037878E9	7.939540043636364E8	8.057073504094517E9	2.8420971227272725E8	3.8683432823412695E9	3.3969447907954544E8	1.0942775004776333E10	6.329167743143939E8
MGYG000303567	1549	80	14	Cryptobacteroides sp900769905	Species	Bacteria		Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Cryptobacteroides	Cryptobacteroides sp900769905	Rikenellaceae	Family	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae			1.48711E7	109460.0	3.19713E7	2167500.0	7269920.0	586900.0	6.29909E7	0.0	5.353833E7	2786410.0	6.2655E7	1259300.0	2.434639E7	0.0	1.705974E7	0.0	2.06067E7	1145620.0	8.73644E7	449800.0
MGYG000302239	603	20	3	CAG-170 sp000436735	Species	Bacteria		Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-170	CAG-170 sp000436735	Oscillospiraceae	Family	Bacteria		Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae			1.9685E7	0.0	0.0	0.0	7016800.0	0.0	7425900.0	2862600.0	2217300.0	0.0	1.57653E7	0.0	2.0482E7	0.0	3786000.0	0.0	2.02038E7	0.0	1.214364E7	0.0
MGYG000303568	2467	205	13	Coprococcus_A sp016297495	Species	Bacteria		Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus_A	Coprococcus_A sp016297495	Coprococcus	Genus	Bacteria		Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Coprococcus		4.157657291666667E7	5795510.0	2.8564016666666664E7	2870365.0	6.2197733333333336E7	3517326.6666666665	5.139623916666666E7	0.0	8.008671958333334E7	1246910.0	3.7464960416666664E7	2009883.3333333333	7.118747416666666E7	942140.0	1.6186672916666668E7	2146655.0	3.5290796666666664E7	1010100.0	1.4950949499999997E8	1039200.0
MGYG000303447	923	33	2	JAEDCM01 sp016294165	Species	Bacteria		Firmicutes	Bacilli	Acholeplasmatales	Anaeroplasmataceae	JAEDCM01	JAEDCM01 sp016294165	Anaeroplasmataceae	Family	Bacteria		Tenericutes	Mollicutes	Anaeroplasmatales	Anaeroplasmataceae			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2944100.0	0.0	6018900.0	0.0	1.5234E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MGYG000302119	2323	240	112	Dysosmobacter sp004558115	Species	Bacteria		Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Dysosmobacter	Dysosmobacter sp004558115	Eubacteriales	Order	Bacteria		Firmicutes	Clostridia	Eubacteriales				3.8288913125E8	1.627917E7	4.1204038125E8	7470810.0	2.1404247E8	1.629235E7	7.411299125E8	8285490.0	1.12634534125E9	1.478669E7	3.162828775E8	1.495486E7	4.06179295625E8	1.494856E7	1.822967E8	1.178998E7	1.0460041E8	1.454653E7	4.26360245E8	5907790.0
MGYG000302350	426	18	4	Corynebacterium phoceense	Species	Bacteria		Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium phoceense	Corynebacterium phoceense	Species	Bacteria		Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium phoceense	4742400.0	1265700.0	1.71347E7	6394000.0	3378250.0	4708900.0	1.2024E7	8952900.0	5928900.0	6475400.0	1882950.0	3090400.0	2427200.0	5890300.0	6070750.0	0.0	8997450.0	1.0118E7	1.25261E7	4310000.0
MGYG000302470	1032	22	2	1XD8-76	Genus	Bacteria		Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	1XD8-76												1.24628E7	4080700.0	4917700.0	0.0	0.0	1438800.0	9962800.0	1470800.0	2095400.0	1.36798E7	9935700.0	5348530.0	3638100.0	5435000.0	0.0	0.0	4733200.0	1448100.0	3030900.0	1298800.0
MGYG000302472	45559	5060	1701	Prevotella copri	Species	Bacteria		Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella copri	Prevotella copri	Species	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella copri	1.7818983029840984E10	2.6452749196904764E9	1.1909891057286325E10	2.329986372772728E9	1.8867021539874126E10	9.516175804761906E8	1.7701606449469692E10	2.838211276431818E9	1.9590074900256493E10	1.9645809357878792E9	2.323819822149819E10	1.4675977036515152E9	2.3919131851932873E10	2.6333993186493516E9	2.9118485098062782E10	1.6722924172251084E9	1.8625729037369045E10	7.689756189128789E8	1.7865923025684765E10	1.9436827589810605E9
MGYG000301020	2474	176	15	Alloprevotella sp004557035	Species	Bacteria		Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Alloprevotella	Alloprevotella sp004557035	Bacteroidales	Order	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales				1.2391966666666668E7	5114660.0	1.6359491666666666E7	1478890.0	6937530.0	3354980.0	1.65036E7	1196700.0	1.5535891666666666E7	4229720.0	3.07322E7	3438496.0	1.623698E7	1241620.0	9.589128333333334E7	2676540.0	7864710.0	7375940.0	8760211.666666668	3651050.0
MGYG000301265	2071	179	28	Mitsuokella	Genus	Bacteria		Firmicutes_C	Negativicutes	Selenomonadales	Selenomonadaceae	Mitsuokella												2.1769945E7	2949750.0	2.0377076666666668E7	733458.3333333333	1.680031E7	5742400.0	5.2366001666666664E7	3.2771E7	5.8118656666666664E7	1.1831016666666666E7	1.6963355E7	4232799.166666666	5.490295E7	2.1845E7	3.779705416666667E8	2.879109E7	1.9755721333333334E8	4.35485525E7	2.3864033333333336E7	2053100.0
